Total_ticks,ProcessA_ticks,ProcessB_ticks,ProcessC_ticks
50, 0, 0, 0
174, 9, 63, 46
318, 75, 109, 72
461, 152, 152, 94
595, 224, 187, 117
766, 312, 237, 148
906, 375, 285, 169
1051, 445, 332, 194
1162, 502, 363, 212
1321, 578, 417, 237
1428, 629, 458, 250
1573, 693, 515, 271
1760, 791, 578, 293
1881, 848, 621, 309
2016, 917, 664, 327
2122, 977, 695, 337
2272, 1051, 741, 362
2439, 1133, 791, 390
2556, 1195, 827, 407
2715, 1271, 879, 432
2842, 1339, 916, 451
2953, 1390, 951, 472
3118, 1470, 1006, 497
3243, 1533, 1043, 517
3492, 1657, 1118, 562
3607, 1698, 1158, 590
3721, 1763, 1185, 608
3877, 1843, 1241, 624
3985, 1895, 1273, 643
4119, 1953, 1320, 668
4262, 2033, 1358, 686
4408, 2108, 1409, 704
4544, 2162, 1464, 729
4732, 2249, 1535, 755
4877, 2308, 1589, 785
4983, 2353, 1631, 801
5150, 2441, 1673, 833
5292, 2522, 1705, 861
5396, 2570, 1747, 873
5543, 2632, 1797, 897
5676, 2694, 1843, 917
5805, 2757, 1887, 934
5916, 2802, 1934, 947
6080, 2875, 1994, 977
6199, 2928, 2033, 1001
6358, 3007, 2085, 1025
6468, 3057, 2124, 1043
6635, 3141, 2174, 1072
6749, 3194, 2210, 1091
6912, 3273, 2263, 1119
7160, 3411, 2332, 1155
7311, 3486, 2379, 1180
7435, 3542, 2420, 1202
7539, 3592, 2452, 1220
7682, 3666, 2495, 1241
7805, 3722, 2534, 1263
7922, 3784, 2574, 1274
8038, 3838, 2612, 1294
8203, 3921, 2671, 1313
8309, 3969, 2707, 1330
8493, 4066, 2755, 1367
8630, 4126, 2809, 1387
8747, 4178, 2848, 1404
8891, 4247, 2898, 1423
9104, 4345, 2962, 1471
9228, 4409, 2999, 1492
9345, 4472, 3030, 1510
9463, 4523, 3067, 1537
9640, 4611, 3122, 1567
9751, 4665, 3157, 1585
9863, 4719, 3199, 1596
10011, 4797, 3243, 1620
10130, 4853, 3281, 1642
10322, 4938, 3355, 1670
10453, 5002, 3396, 1694
10595, 5075, 3441, 1713
10814, 5169, 3521, 1756
10970, 5235, 3572, 1788
11100, 5299, 3618, 1804
11248, 5371, 3665, 1826
11397, 5438, 3719, 1849
11560, 5521, 3768, 1879
11668, 5570, 3804, 1894
11799, 5626, 3847, 1922
11907, 5671, 3885, 1945
12038, 5728, 3926, 1973
12164, 5795, 3962, 1991
12318, 5872, 4014, 2014
12446, 5938, 4059, 2027
12568, 6007, 4096, 2039
12672, 6051, 4130, 2061
12794, 6107, 4169, 2086
12916, 6173, 4206, 2100
13065, 6248, 4256, 2120
13174, 6305, 4290, 2132
13294, 6365, 4322, 2155
13456, 6442, 4367, 2188
13574, 6498, 4403, 2209